Year,Kilometers_Driven,Mileage,Engine,Power,Seats,Price
2010,72000,26.6,998.0,58.16,5.0,1.75
2015,41000,19.67,1582.0,126.2,5.0,12.5
2011,46000,18.2,1199.0,88.7,5.0,4.5
2012,87000,20.77,1248.0,88.76,7.0,6.0
2013,40670,15.2,1968.0,140.8,5.0,17.74
2012,75000,21.1,814.0,55.2,5.0,2.35
2013,86999,23.08,1461.0,63.1,5.0,3.5
2016,36000,11.36,2755.0,171.5,8.0,17.5
2013,64430,20.54,1598.0,103.6,5.0,5.2
2012,65932,22.3,1248.0,74.0,5.0,1.95
2018,25692,21.56,1462.0,103.25,5.0,9.95
2012,60000,16.8,1497.0,116.3,5.0,4.49
2015,64424,25.2,1248.0,74.0,5.0,5.6
2014,72000,12.7,2179.0,187.7,5.0,27.0
2012,85000,0.0,2179.0,115.0,5.0,17.5
2014,110000,13.5,2477.0,175.56,7.0,15.0
2016,58950,25.8,1498.0,98.6,5.0,5.4
2017,25000,28.4,1248.0,74.0,5.0,5.99
2014,77469,20.45,1461.0,83.8,5.0,6.34
2014,78500,14.84,2143.0,167.62,5.0,28.0
2014,32982,22.69,1995.0,190.0,5.0,18.55
2015,55392,23.65,1248.0,88.5,5.0,8.25
2015,55985,13.53,1984.0,177.01,5.0,23.5
2010,45807,18.5,1197.0,80.0,5.0,1.87
2010,33000,14.4,1598.0,103.6,5.0,2.85
2012,51920,16.8,1497.0,116.3,5.0,4.25
2012,54000,23.08,1461.0,63.1,5.0,4.25
2013,54000,20.92,998.0,67.1,5.0,2.75
2018,37430,17.5,1199.0,88.7,5.0,9.9
2007,262000,12.8,2494.0,102.0,7.0,4.0
2013,62000,19.01,1461.0,108.45,5.0,7.75
2012,87615,14.53,1798.0,138.1,5.0,6.75
2013,72000,11.18,2696.0,184.0,7.0,12.5
2010,35000,12.4,2698.0,179.5,5.0,11.5
2014,55431,16.09,1598.0,103.5,5.0,6.98
2009,83816,14.0,1061.0,64.0,5.0,1.85
2018,50075,24.3,1248.0,88.5,5.0,8.63
2017,52000,18.15,1198.0,82.0,5.0,4.85
2013,85000,11.74,2987.0,254.8,5.0,28.0
2013,62000,22.07,1199.0,73.9,5.0,5.0
2008,90000,19.7,796.0,46.3,5.0,1.25
2014,19698,25.4,624.0,37.5,4.0,1.53
2017,22033,25.32,1198.0,77.0,6.0,5.58
2014,35487,18.5,1197.0,82.9,5.0,4.74
2014,46374,14.62,1999.0,149.92,5.0,8.85
2016,52001,14.28,1798.0,138.03,5.0,10.11
2008,58005,14.9,1991.0,112.2,5.0,4.25
2012,70704,11.25,2694.0,163.7,7.0,10.95
2014,75000,24.4,1120.0,71.0,5.0,3.85
2012,75800,16.55,2498.0,105.0,6.0,5.5
2015,13648,17.11,1968.0,174.33,5.0,21.43
2014,52000,22.9,1248.0,74.0,5.0,4.25
2014,53000,17.8,1248.0,75.0,5.0,3.3
2013,65650,28.4,1248.0,74.0,5.0,3.85
2015,54000,18.9,1197.0,82.0,5.0,3.6
2015,39000,15.04,1598.0,103.2,5.0,3.99
2017,16542,25.17,799.0,53.3,5.0,3.3
2010,32000,20.36,1197.0,78.9,5.0,2.07
2010,121812,13.29,1995.0,147.6,5.0,7.75
2010,39300,18.2,998.0,67.1,5.0,2.25
2017,22000,13.68,2393.0,147.8,8.0,16.5
2010,72000,20.0,1399.0,68.0,5.0,2.75
2015,58000,11.74,1796.0,186.0,5.0,26.7
2011,65000,15.8,2148.0,170.0,5.0,10.0
